SERIAL,CPU,MEMORY,DISK
1,1246.7,1239.5,17.2
2,1106.6,1100.3,15.268
3,939.38,1136.8,13.944
4,1004.2,1341.8,15.519
5,791.73,1057.9,12.236
6,2658.4,3552,41.084
7,5407.4,4079.7,16.026
8,5765.3,3670.8,2.509
9,4446.8,2933,5.7332
10,1164.6,1157.9,16.068
11,651.18,871.3,31.615
12,1153.6,2022,104.37
13,769.1,1253.7,60.047
14,1458,1449.6,20.116
15,937.06,1136.8,12.691
16,3211.6,8969.9,37.635
17,2592.3,7182.4,30.444
18,1430.1,1421.9,19.731
19,583.77,580.4,8.0539
20,2074,2062,28.613
21,1191.6,1184.7,16.439
22,27634,7720.4,25.045
23,23401,5965.8,10.898
24,4814.3,2078.1,17.583
25,1208.7,1201.8,16.676
26,744.17,739.88,10.267
27,2329.1,2315.7,32.134
28,1839,1828.4,25.371
29,924.13,918.8,12.75
30,5236.5,2938.6,12.163
31,7077.3,3602.2,6.6508
32,4732.3,2408.4,10.203
33,6822.6,3471.3,29.463
34,4275.5,2099,16.723
35,1169,435.99,1.4309
36,2386.3,1631.8,28.604
37,1877.2,2387.8,60.731
38,1841,2216.6,51.2
39,4114,4090.3,56.758
40,13508,12167,158.48
41,54179,27566,166.96
42,8754.6,4454.4,26.978
43,13107,16672,424.04
44,0,0,0
45,72068,8495.5,40.056
46,0,0,0
47,13107,16672,424.04
48,0,0,0
49,6537.5,4143.2,3.9957
50,11200,7098.4,6.8457
51,6386.5,6893.3,45.77
52,2074.6,7041.7,85.519
53,7171,6304.2,115.1
54,11505,5853.7,142.02
55,10959,6094.2,86.641
56,16828,10665,10.285
57,13023,7546.6,74.298
58,7938.4,4039.1,97.992
59,10146,5162.2,125.24
60,8518.1,4334,105.15
61,5836.9,3481.1,60.583
62,10462,10646,9.7424
63,6106.5,6049.6,6.6035
64,4989.2,1488.4,24.666
65,7087.4,2103.3,34.75
66,8120.2,1409.5,13.634
67,10205,1771.3,17.134
68,7008.6,801.48,4.3177
69,6668.5,740.2,3.7063
70,6480,2141.4,8.2921
71,8729.1,3133.6,11.991
72,22341,23161,20.705
73,20612,23869,17.454
74,20671,23937,17.504
75,22325,25852,18.904
76,10247,11444,42.062
77,3904.7,3882.2,53.87
78,11152,12602,34.097
79,20316,23526,17.203
80,22503,26059,19.055
81,16709,19349,14.149
82,17895,20722,15.153
83,22948,26573,19.432
84,20042,23209,16.971
85,21323,24692,18.056
86,10736,12241,50.064
87,8712.9,8866.3,269.06
88,8146.6,8278,250.62
89,870.4,553.75,0.6645
90,428.91,272.88,0.32745
91,903.79,1145,1.1001
92,815.26,1037.3,0.99559
93,4625.7,2369.7,4.3525
94,2739,1394.1,2.5739
95,2088.2,262.8,0.85709
96,2369.7,117.84,0.72342
97,1053.1,610.23,8.2899
98,952.01,946.52,13.134
99,545.81,876.8,7.0833
100,428.7,985.3,5.1666
101,544.58,784.21,7.1884
102,1831.4,1820.8,25.267
103,3102.7,1982.4,18.472
104,5711.5,2906,17.601
105,15106,8754,32.024
106,19005,13198,10.563
107,10173,12354,35.599
108,9083.4,37609,182.26
109,9021.4,31029,147.03
110,10502,6686.2,12.989
111,8303.3,5447.4,13.545
112,2793.9,3733.1,43.178
113,1801.8,2407.5,27.846
114,12828,8170.1,5.6366
115,14891,9481.6,6.4807
116,3531,3037.6,31.036
117,2139.5,2127.1,29.517
118,4820.5,1364.2,31.207
119,7820.8,1989.6,48.326
120,2334.7,1346.9,22.178
121,1374.6,1366.7,18.964
122,596.37,592.94,8.2278
123,1352.8,1345,18.663
124,2183.8,1332.1,7.8957
125,5680.8,2891.4,5.3384
126,3907.2,2473.3,16.511
127,1387.4,1379.4,19.141
128,5853.8,8394.9,10.996
129,4595.9,6857.8,1.4045
130,3990.2,5433.9,2.2315
131,2124.6,2153.5,2.6277
132,3123.1,2719.5,3.383
,,,
133,1374.4,131.46,0.34327
134,3441,427.46,11.282
135,667.94,451.89,41.287
136,716.58,411.9,36.344
137,5862.8,672.95,3.2585
138,5119.8,587.67,2.8456
139,3305.7,1480.9,2.91
140,2553.3,1299.6,2.3994
141,888.57,369.11,1.0088
142,684.55,255.31,0.83789
143,324.66,388.06,0.39684
144,756.35,1317.1,0.92365
145,3636,2233,3.5042
146,2947,1500,2.7694
147,2056,1676.5,5.7161
148,621.04,1465.1,7.4847
149,829.82,1135.6,11.052
150,1418.2,1410,19.565
151,3009,2170.2,19.75
152,4632.8,2358,4.3535
153,2561.6,1204.3,4.2986
154,3601.8,1074.5,17.807
155,1830.6,713.94,11.185
156,1371.9,1364,18.927
157,1100.5,909.88,11.454
158,1143,426.3,1.3991
159,1038.2,409.32,1.2246
160,2513.2,1279.2,2.3618
161,4113.5,2093.7,3.8656
162,1558.6,793.03,2.2999
163,2205.1,1122,3.2953
164,632.71,360.35,24.571
165,485.52,294.67,30.011
166,1336.1,1302.8,21.618
167,1384.8,1376.9,19.106
168,1160.4,1153.7,16.009
169,833.56,828.76,11.5
170,1584.6,520.12,4.8271
171,2427.3,347.83,0.14836
172,1878.5,266.95,0.24603
173,1595.7,224.79,0.32527
174,829,446.73,5.4244
175,1231.7,1224.6,16.993
176,762.27,572.77,6.199
177,1176.2,598.46,2.9095
178,1739.6,1021.5,7.4833
179,799.9,795.29,11.036
180,1737.2,1737.3,24.66
181,3190.2,3249,49.303
182,3307.9,3368.8,51.121
183,3038.7,3094.6,46.96
184,2595.3,2696,39.845
185,1043.5,3460.5,4.2546
186,1081.3,3585.9,4.4087
187,1727,1795.8,23.496
188,721.03,716.88,9.9477
189,511.96,509.01,7.0632
190,862.61,857.64,11.901
191,623.32,1042.4,16.273
192,659.84,1250,19.885
193,1900.1,2260.7,34.822
194,1159.6,1180.9,17.92
195,1724.6,3548.6,46.09
196,442.39,1501.5,18.236
197,738.3,1490.2,18.417
198,1736,891.61,12.399
199,2264.6,997.03,21.749
200,4841.6,1533,66.594
201,4360.9,1956.9,36.106
202,3680.1,2332.3,2.2493
203,2762.7,1733.1,5.6495
204,556.79,276.97,17.203
205,1096.7,545.42,21.011
206,2370.6,1178.5,1.4489
207,2240.5,1103,1.4561
208,5540.8,2115.7,8.5372
209,4562.6,1742.2,7.0301
210,1733.8,541.02,7.6032
211,1858.6,554.49,9.189
212,1058.5,352.45,3.4048
213,454.91,169.66,0.55681
214,273.85,157.82,12.636
215,401.57,259.91,24.821
216,1277.3,1251.6,20.151
217,1211.8,1204.8,16.718
218,1789.2,1808.8,26.733
219,1267.4,1290.8,19.587
220,1811.8,1076.5,11.203
221,1846,939.24,7.9718
222,4002.9,1690.5,19.876
223,3271.9,390.64,23.662
224,1860.1,528.71,12.894
225,568.94,707.26,2.9503
226,629.24,785.98,7.3814
227,1206.6,1514,21.624
228,1686.2,1812.8,24.192
229,3937.1,2003.2,12.133
230,2216.3,1533.7,12.196
231,816.82,2772.4,33.67
232,434.46,1474.6,17.909
233,287.75,126.69,10.429
234,327.9,130.52,11.86
235,1189.4,1152.2,17.547
236,1314.3,1306.8,18.133
237,1649.1,5849.6,30.435
238,1176.8,4657.3,22.599
239,297.89,625.37,3.3178
240,226.21,64.102,0.73639
241,2140.2,1021.8,1.8301
242,1569.4,780.2,0.95924
243,1064.7,501.19,0.7259
244,296.95,102.41,0.30237
245,400.22,667.21,0.95233
246,417.85,1385.7,1.7037
247,543.48,1144.3,4.9702
248,806.82,802.17,11.131
249,1160.9,667.41,6.9789
250,2301.5,585.5,0.14067
251,2206.2,1127,0.62678
252,4610.5,5339.1,3.9042
253,3867.5,4492,4.3795
254,1431.4,1912.6,22.122
255,1573.5,2092.8,24.167
256,2897.8,1474.4,7.1679
257,2079,1057.8,5.1425
258,2577.5,792.54,12.467
259,4062.8,1212.1,20.086
260,1023.4,601.58,5.2095
261,474.77,368.16,2.462
262,1168.2,1148.8,15.619
263,1176.2,1169.5,16.228
264,1172.7,912.13,7.5491
265,2593.9,1761.3,7.9865
266,2157.1,2507.2,12.079
267,3262.6,4154.8,20.16
268,3617.8,4370.3,37.425
269,1879.7,2123.6,28.809
270,2216.8,2064.4,25.776
271,1222,455.74,1.4957
272,504.14,188.02,0.61706
273,0,0,0
274,172.57,171.58,2.3808
275,622.75,619.17,8.5918
276,600.29,596.83,8.2819
277,610.74,607.22,8.4261
278,669.9,727.32,7.6916
279,4232.9,6465.1,1.2936
280,5339.9,8155.9,1.6319
281,6203.8,401.51,36.45
282,4433.9,110.24,26.724
283,7923.3,1665.7,28.907
284,5673.4,1443.3,17.483
285,8185.5,1754.5,6.5731
286,8421.9,1742.8,3.2178
287,6312.2,2561.3,52.144
288,9603.2,4886.1,118.54
289,8141.8,2077.3,40.376
290,6921.3,688.59,2.9568
291,7437.1,1988.5,8.9902
292,8010.9,3239,14.791
293,6511,2482.6,9.3948
294,4418.6,1512.9,3.3652
295,3729.1,1801.9,13.34
296,2588.8,2573.9,35.716
297,1587.6,1434.5,26.594
298,419.23,156.9,14.258
299,712.14,483.31,21.965
300,1353.9,2550.6,24.784
301,1677.6,2734.6,29.307
302,3076,3132.6,47.537
303,2529.4,2575.9,39.089
304,2341.3,2327.9,32.309
305,1139.4,1132.9,15.72
306,1093.7,474.51,2.6865
307,829.48,309.36,1.0153
308,687.69,665.79,9.3284
309,724,818.06,12.249
310,2621.1,1508.9,10.559
311,1450.9,738.22,3.589
312,2775,604.68,4.9508
313,3950.8,685.77,6.6335
314,1383.3,520.2,6.4584
315,616.94,613.39,8.5116
