SERIAL,CPU,MEMORY,DISK
1,1634.2,1624.8,22.546
2,1197,1235.1,16.733
3,1302.6,1740.4,20.13
4,954.92,1275.9,14.757
5,3211,4290.4,49.624
6,7381.4,4950.1,8.5855
7,7517.2,4827.8,4.8209
8,1332.9,1325.2,18.389
9,853.77,1226.4,49.945
10,1382.7,2423.6,125.1
11,1590.7,1743.1,38.278
12,1141.8,1340.4,15.515
13,3827.9,10691,44.857
14,2601.2,6082.7,31.848
15,1268.6,1261.3,17.503
16,2193.9,2181.3,30.268
17,3104,2347.4,29.504
18,42689,10883,19.882
19,10603,3077.2,11.683
20,1853.5,1842.8,25.572
21,1688.4,1678.7,23.294
22,1970.1,1958.8,27.181
23,1903.3,1892.3,26.258
24,5511.1,3211.6,15.951
25,8540.8,4347.1,8.0261
26,6346.7,3229.5,22.119
27,7536.7,3824,32.303
28,1652.6,616.36,2.0228
29,2807.6,2167.7,42.234
30,2247.2,2858.4,72.701
31,3245.1,3392.8,55.888
32,15427,14075,184.95
33,62933,32020,193.94
34,9376.5,11927,303.35
35,3730.7,4745.5,120.7
36,72069,8495.6,40.056
37,1488.1,1892.8,48.143
38,11619,14779,375.9
39,4668.1,2958.4,2.8531
40,13070,8283.2,7.9883
41,6819.9,8364.4,63.635
42,3156.8,8997.3,112.94
43,13408,6821.7,165.5
44,14712,8003.7,132.97
45,19257,12204,11.77
46,15082,8290.9,128.23
47,11289,5743.8,139.35
48,10824,5507.5,133.62
49,8807.9,6504.4,63.349
50,11077,11272,10.315
51,6237.3,3509.6,21.639
52,8360.1,2483,41.042
53,10274,1783.3,17.25
54,11357,1788,15.778
55,9089.6,1008.9,5.052
56,7761.8,2283.6,9.0045
57,12492,4780.4,16.965
58,28239,32701,23.913
59,25737,29804,21.794
60,28209,32667,23.888
61,11307,12498,56.682
62,4716.2,4689.1,65.067
63,25036,28987,21.622
64,27064,31340,22.917
65,21455,24846,18.168
66,25442,29462,21.544
67,26304,30461,22.274
68,25714,29777,21.775
69,13446,14998,133.73
70,10976,11169,338.94
71,3750,3584.4,97.506
72,723.22,460.11,0.55214
73,1096.4,1390.1,1.3353
74,2714.5,1872.3,2.7318
75,4824.5,2455.6,4.5337
76,2536.5,490.99,1.2784
77,2748.2,136.66,0.83896
78,979.56,894.57,12.381
79,1100.2,1307,14.893
80,521.46,1198.5,6.2845
81,662.55,901.51,8.8161
82,2459.7,2445.5,33.935
83,6866.8,3535.3,22.075
84,16308,9365.2,35.726
85,23315,16191,12.958
86,8995.2,22329,96.049
87,12294,50903,246.68
88,13181,11453,32.752
89,9211.2,6660.4,27.576
90,2824.3,3773.7,43.648
91,11223,7752.7,17.909
92,17359,11053,7.5547
93,4191.2,3694,40.144
94,3191,2044.1,32.406
95,8512.2,2165.5,52.599
96,4752,1961.8,37.116
97,1562.2,1553.2,21.553
98,1041.2,1035.2,14.364
99,2233.6,1706.9,17.203
100,6351.4,3232.7,5.9686
101,4165.5,2730.1,20.075
102,1736.9,1726.9,23.963
103,9153.9,13622,3.8041
104,4678.1,6460.4,2.4417
105,2948.2,2988.3,3.6463
106,2973.6,1949.1,2.5327
107,2614.9,250.11,0.65309
108,2194.3,696.23,52.091
109,2491.5,615.62,37.331
110,6854.6,786.79,3.8098
111,4953.9,1392.1,3.5554
112,3258.3,1658.4,3.062
113,1130.2,459.24,1.3046
114,634.08,320.8,0.77594
115,657.87,1145.6,0.80339
116,3868,2636.9,3.7874
117,3866.2,1967.8,3.6332
118,1430.9,1902.4,8.396
119,819.12,1571.3,10.333
120,1755.9,1745.8,24.225
121,4648,3004.4,21.29
122,4453.4,2266.7,4.185
123,4160.6,1373.9,18.049
124,2373.9,876.01,13.871
125,1568.7,1559.7,21.642
126,1434.7,912.24,9.3882
127,1391,518.78,1.7026
128,2772.5,1398,2.6329
129,4384.3,2231.5,4.241
130,2499,1271.5,3.7345
131,1382.7,717.99,10.972
132,729.56,442.78,45.095
133,1691.5,1656.1,26.521
134,1640.7,1631.3,22.636
135,1226.4,1219.3,16.92
136,1740.9,675.5,6.9832
137,2802.7,401.61,0.1713
138,2502.8,353.99,0.42686
139,1242,348.68,3.0201
140,1414.8,1406.6,19.519
141,1047.4,717.84,6.9043
142,1596.2,812.14,3.9483
143,1651.4,1276,14.25
144,1920.2,1919.3,27.185
145,3817.7,3888,59
146,4418.4,4499.7,68.283
147,3457.1,3520.7,53.426
148,1482.4,3960.4,10.775
149,1483.5,4064.5,9.6273
150,1659.1,1649.5,22.89
151,746.6,742.3,10.3
152,1014.7,1008.9,14
153,765.63,1312,20.561
154,1173.1,1973.7,31.186
155,2072.9,2111.1,32.035
156,2055.8,3885.8,51.208
157,616.27,2091.7,25.403
158,1123.6,1187.2,15.243
159,3005.8,1463.5,24.163
160,5277.1,1670.9,72.585
161,4955.6,2333.8,36.47
162,5016.4,3179.2,3.066
163,1289.5,736.98,18.611
164,1195.8,594.7,24.072
165,3230.2,1605.8,1.9743
166,4053.2,1696.1,5.0481
167,6518,2488.8,10.043
168,2647,889.73,9.0103
169,2486.5,746.36,12.067
170,686.28,255.95,0.84
171,425.63,201.41,9.9454
172,449.03,290.63,27.755
173,1616.8,1589.2,24.835
174,1611.3,1606.5,22.538
175,2166.8,2206.7,33.486
176,1962.6,1230.1,13.534
177,2736.6,1392.4,11.818
178,4830.8,1442.6,28.458
179,3271.7,537.8,23.393
180,710.83,883.65,3.6861
181,1214,1519.8,17.862
182,1436.9,1802.9,25.75
183,2846.9,1795.4,15.675
184,4177.7,2531.6,18.241
185,941.73,3196.4,38.819
186,474.31,1128.4,18.74
187,421.52,167.78,15.247
