SERIAL,CPU,MEMORY,DISK
1,245.61,244.19,
2,1001.1,995.29,
3,669.52,665.66,
4,437.11,434.59,
5,477.87,520.14,
6,461.49,616.61,
7,498.38,665.9,
8,505.82,675.85,
9,441.32,589.67,
10,350.38,468.16,
11,1326.9,1773,
12,1331.5,1779,
13,899.49,1201.8,
14,4507.8,2877.8,
15,2526.5,1608.7,
16,3238.6,2062.1,
17,3266.8,2080,
18,1179.9,852.88,
19,653.24,649.48,
20,511.37,508.42,
21,288.22,286.56,
22,362.95,584.73,
23,449.46,787.82,
24,704.09,1234.1,
25,431.69,756.66,
26,337.4,497.01,
27,337.86,335.91,
28,1120.2,1113.7,
29,522.05,519.04,
30,415,617.77,
31,627.31,1752.1,
32,2584.3,7217.7,
33,1466.5,4096,
34,1125.7,3086.3,
35,625.3,621.7,
36,804.82,800.18,
37,249.64,248.2,
38,334.11,332.19,
39,422.29,419.85,
40,1651.7,1642.1,
41,698.57,694.55,
42,492.97,490.13,
43,4403.3,1797.8,
44,23231,5922.5,
45,16967,4325.7,
46,6433.2,1640.1,
47,3958.5,1227.2,
48,855.82,850.89,
49,495.76,492.91,
50,712.96,708.85,
51,268.76,267.21,
52,475.39,472.66,
53,1390.3,1382.3,
54,938.84,933.43,
55,585.25,581.88,
56,1253.7,1246.5,
57,498.53,495.66,
58,425.58,423.13,
59,782.16,671.45,
60,4454.3,2267.1,
61,2236.4,1138.3,
62,4840.9,2463.9,
63,2894.7,1473.3,
64,1837.6,935,
65,3077.8,1566,
66,3744.7,1905.3,
67,2690.8,1369.1,
68,1584.6,729.87,
69,514.49,191.88,
70,654.51,244.11,
71,620.15,231.29,
72,1766.1,1400.5,
73,844.29,1073.9,
74,1032.9,1313.8,
75,791.29,1006.5,
76,1049.7,1210.1,
77,1475.2,1466.7,
78,2638.8,2623.6,
79,6132.1,6096.7,
80,7376.3,6070.4,
81,21505,10942,
82,32673,16624,
83,8754.6,4454.4,
84,0,0,
85,9376.4,11927,
86,3730.7,4745.5,
87,0,0,
88,0,0,
89,42343,4991.5,
90,29725,3504.1,
91,0,0,
92,0,0,
93,7016.9,8925.4,
94,6090.3,7746.8,
95,0,0,
96,0,0,
97,2384.6,1511.2,
98,4152.8,2631.9,
99,4677.3,2964.3,
100,6523.1,4134.1,
101,5616.8,4280.8,
102,769.7,2612.5,
103,803.98,2728.9,
104,1270.6,4312.8,
105,1515.5,3426.6,
106,5655.4,2877.5,
107,5073.1,2581.2,
108,6431.9,3272.5,
109,6386.1,3249.2,
110,4573.3,2845,
111,8526.8,5403.9,
112,8300.9,5260.8,
113,5766.6,3654.6,
114,7255.9,3891.9,
115,4489.1,2284,
116,3449.3,1755,
117,5442.9,2769.4,
118,4702.9,2392.8,
119,3007.9,1530.4,
120,5510.2,2803.6,
121,3426.9,1743.6,
122,2409.9,1737.5,
123,5091.6,5181.2,
124,5370.5,5465,
125,3585.6,3648.7,
126,2520.9,2400.8,
