SERIAL,CPU,MEMORY,DISK
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,9.5438,9.4888,0.13167
12,7.1071,7.0662,0.098052
13,89.643,89.127,1.2368
14,9.1065,9.054,0.12564
15,39.05,38.825,0.53875
16,21.259,21.136,0.2933
17,23.586,23.45,0.3254
18,8.9034,8.8521,0.12283
19,29.272,29.103,0.40385
20,7.8412,7.7961,0.10818
21,13.152,13.076,0.18145
22,8.3411,8.293,0.11508
23,52.686,52.383,0.72688
24,155.9,155,2.1509
25,57.856,57.523,0.79821
26,5.3108,5.2802,0.07327
27,73.836,73.41,1.0187
28,7.482,7.4389,0.10322
29,52.655,52.352,0.72645
30,32.989,32.799,0.45514
31,37.754,37.536,0.52086
32,9.8094,9.7528,0.13533
33,7.5913,7.5476,0.10473
34,9.2314,9.1782,0.12736
35,16.26,16.167,0.22434
36,181.71,180.66,2.5069
37,119.43,118.74,1.6477
38,145.28,144.44,2.0044
39,8.1536,8.1067,0.11249
40,5.3264,5.2957,0.073485
41,32.693,32.504,0.45104
42,65.292,64.915,0.90079
43,43.158,42.909,0.59543
44,32.333,32.147,0.44608
45,32.193,32.007,0.44415
46,19.681,19.568,0.27153
47,51.155,50.861,0.70576
48,63.042,62.679,0.86976
49,22.04,21.913,0.30407
50,25.773,25.624,0.35557
51,22.555,22.425,0.31118
52,41.112,40.875,0.5672
53,18.463,18.356,0.25472
54,44.236,43.981,0.6103
55,11.715,11.648,0.16162
56,5.9356,5.9014,0.08189
57,40.503,40.269,0.55879
58,18.182,18.077,0.25084
59,41.112,40.875,0.5672
60,38.05,37.831,0.52496
61,6.373,6.3362,0.087924
62,15.917,15.825,0.21959
63,7.9037,7.8582,0.10904
64,4.4048,4.3795,0.060771
65,38.144,37.924,0.52625
66,39.753,39.524,0.54845
67,20.853,20.733,0.28769
68,33.068,32.877,0.45621
69,10.887,10.824,0.1502
70,42.018,41.776,0.57969
71,58.497,58.16,0.80705
72,17.619,17.518,0.24308
73,60.34,59.992,0.83248
